#id,名字,类型,可否删除,环,节点数,精力,生成任务条件,接任务条件,初始任务条件,交任务条件,任务奖励,下一个任务,提交条件,成功处理,失败处理,事件,flag
id_kn,name_s,type_n,canDelete_b,hoop_n,maxnode_n,energy,build_t,accept_t,init_t,finish_t,prize_t,nexttask_t,commit_t,succeed_t,fail_t,event_t,flag_c
5001,无底洞1-10,1,0,0,,,,,,CAMPAIGN_ID=2430,"{""bindRmb"",120}",5003,,,,,
5003,无底洞2-10,1,0,0,,,,,,CAMPAIGN_ID=2440,"{""bindRmb"",120}",5005,,,,,
5005,无底洞3-10,1,0,0,,,,,,CAMPAIGN_ID=2450,"{""bindRmb"",120}",5007,,,,,
5007,无底洞4-10,1,0,0,,,,,,CAMPAIGN_ID=2460,"{""bindRmb"",120}",5009,,,,,
5009,无底洞5-10,1,0,0,,,,,,CAMPAIGN_ID=2470,"{""bindRmb"",120}",5011,,,,,
5011,无底洞6-10,1,0,0,,,,,,CAMPAIGN_ID=2480,"{""bindRmb"",120}",5013,,,,,
5013,无底洞7-10,1,0,0,,,,,,CAMPAIGN_ID=2490,"{""bindRmb"",120}",5015,,,,,
5015,无底洞8-10,1,0,0,,,,,,CAMPAIGN_ID=2500,"{""bindRmb"",120}",5017,,,,,
5017,无底洞9-10,1,0,0,,,,,,CAMPAIGN_ID=2510,"{""bindRmb"",120}",5019,,,,,
5019,无底洞10-10,1,0,0,,,,,,CAMPAIGN_ID=2520,"{""bindRmb"",120}",5021,,,,,
5021,无底洞11-10,1,0,0,,,,,,CAMPAIGN_ID=2530,"{""bindRmb"",120}",5023,,,,,
5023,无底洞12-10,1,0,0,,,,,,CAMPAIGN_ID=2540,"{""bindRmb"",120}",5025,,,,,
5025,无底洞13-10,1,0,0,,,,,,CAMPAIGN_ID=2550,"{""bindRmb"",120}",5027,,,,,
5027,无底洞14-10,1,0,0,,,,,,CAMPAIGN_ID=2560,"{""bindRmb"",120}",5029,,,,,
5029,无底洞15-10,1,0,0,,,,,,CAMPAIGN_ID=2570,"{""bindRmb"",120}",5031,,,,,
5031,无底洞16-10,1,0,0,,,,,,CAMPAIGN_ID=2580,"{""bindRmb"",120}",5033,,,,,
5033,前往蜘蛛洞,1,0,0,,,,,,ENTRY_MAP=19,"{""bindRmb"",120}",5035,,,,,
5035,蜘蛛洞1-10,1,0,0,,,,,,CAMPAIGN_ID=2590,"{""bindRmb"",120}",5037,,,,,
5037,蜘蛛洞2-10,1,0,0,,,,,,CAMPAIGN_ID=2600,"{""bindRmb"",120}",5039,,,,,
5039,蜘蛛洞3-10,1,0,0,,,,,,CAMPAIGN_ID=2610,"{""bindRmb"",120}",5041,,,,,
5041,蜘蛛洞4-10,1,0,0,,,,,,CAMPAIGN_ID=2620,"{""bindRmb"",120}",5043,,,,,
5043,蜘蛛洞5-10,1,0,0,,,,,,CAMPAIGN_ID=2630,"{""bindRmb"",120}",5045,,,,,
5045,蜘蛛洞6-10,1,0,0,,,,,,CAMPAIGN_ID=2640,"{""bindRmb"",120}",5047,,,,,
5047,蜘蛛洞7-10,1,0,0,,,,,,CAMPAIGN_ID=2650,"{""bindRmb"",120}",5049,,,,,
5049,蜘蛛洞8-10,1,0,0,,,,,,CAMPAIGN_ID=2660,"{""bindRmb"",120}",5051,,,,,
5051,蜘蛛洞9-10,1,0,0,,,,,,CAMPAIGN_ID=2670,"{""bindRmb"",120}",5053,,,,,
5053,蜘蛛洞10-10,1,0,0,,,,,,CAMPAIGN_ID=2680,"{""bindRmb"",120}",5055,,,,,
5055,蜘蛛洞11-10,1,0,0,,,,,,CAMPAIGN_ID=2690,"{""bindRmb"",120}",5057,,,,,
5057,蜘蛛洞12-10,1,0,0,,,,,,CAMPAIGN_ID=2700,"{""bindRmb"",120}",5059,,,,,
5059,蜘蛛洞13-10,1,0,0,,,,,,CAMPAIGN_ID=2710,"{""bindRmb"",120}",5061,,,,,
5061,蜘蛛洞14-10,1,0,0,,,,,,CAMPAIGN_ID=2720,"{""bindRmb"",120}",5063,,,,,
5063,蜘蛛洞15-10,1,0,0,,,,,,CAMPAIGN_ID=2730,"{""bindRmb"",120}",5065,,,,,
5065,蜘蛛洞16-10,1,0,0,,,,,,CAMPAIGN_ID=2740,"{""bindRmb"",120}",5067,,,,,
5067,前往狮驼山,1,0,0,,,,,,ENTRY_MAP=20,"{""bindRmb"",120}",5069,,,,,
5069,狮驼山1-10,1,0,0,,,,,,CAMPAIGN_ID=2750,"{""bindRmb"",120}",5071,,,,,
5071,狮驼山2-10,1,0,0,,,,,,CAMPAIGN_ID=2760,"{""bindRmb"",120}",5073,,,,,
5073,狮驼山3-10,1,0,0,,,,,,CAMPAIGN_ID=2770,"{""bindRmb"",120}",5075,,,,,
5075,狮驼山4-10,1,0,0,,,,,,CAMPAIGN_ID=2780,"{""bindRmb"",120}",5077,,,,,
5077,狮驼山5-10,1,0,0,,,,,,CAMPAIGN_ID=2790,"{""bindRmb"",120}",5079,,,,,
